Species,Date,Range
C. robusta,1930,0
C. robusta,1937,0
C. robusta,1950,1879.18
C. robusta,2000,1879.18
C. robusta,2007,1879.18
C. robusta,2009,1879.18
C. robusta,2017,1879.18
C. lepadiformis,1930,0
C. lepadiformis,1950,0
C. lepadiformis,2000,306.66
C. lepadiformis,2007,1402.12
C. lepadiformis,2009,1879.18
C. lepadiformis,2017,2047.53
S. plicata,1930,0
S. plicata,1950,0
S. plicata,2000,0
S. plicata,2007,2047.53
S. plicata,2009,2047.53
S. plicata,2017,2047.53
M. squamiger ,1930,0
M. squamiger ,1950,0
M. squamiger ,1955,0
M. squamiger ,2000,1051.74
M. squamiger ,2007,1327.45
M. squamiger ,2009,1327.45
M. squamiger ,2017,1327.45